sentence;change_type;is_ambiguous
The man saw the woman with the telescope.;original;1
The woman saw the man with the telescope.;inverse_object;1
The telescope saw the woman with the man.;impossible;0
The man saw the woman with the telescope.;pp_synonym;1
The man saw the woman with the monoscope.;pp_synonym;1
The man saw the woman with the spyglass.;pp_synonym;1
The man saw the woman with the binoculars.;pp_synonym;1
The man saw the woman with the camera.;pp_synonym;1
The man saw the woman with the phone.;pp_synonym;1
The man saw the woman with the polaroid.;pp_synonym;1
The man saw the woman with the glasses.;pp_synonym;1
The man saw the woman with the eyepiece.;pp_synonym;1
The man saw the woman with the monocular.;pp_synonym;1
The man saw the woman with the dress.;pp_random;0
The man saw the woman with the book.;pp_random;0
The man saw the woman with the desk.;pp_random;0
The man saw the woman with the curtains.;pp_random;0
The man saw the woman with the box.;pp_random;0
The man saw the woman with the present.;pp_random;0
The man saw the woman with the dophin.;pp_random;0
The man saw the woman with the suitcase.;pp_random;0
The man saw the woman with the t-shirt.;pp_random;0
The man saw the woman with the bracelet.;pp_random;0
The scientist saw the woman with the telescope.;subj_synonym;1
The guy saw the woman with the telescope.;subj_synonym;1
John saw the woman with the telescope.;subj_synonym;1
Alex saw the woman with the telescope;subj_synonym;1
Mary saw the woman with the telescope.;subj_synonym;1
Jenny saw the woman with the telescope.;subj_synonym;1
The nurse saw the woman with the telescope.;subj_synonym;1
The detective saw the woman with the telescope.;subj_synonym;1
The child saw the woman with the telescope.;subj_synonym;1
The student saw the woman with the telescope.;subj_synonym;1
The teacher saw the woman with the telescope.;subj_synonym;1
The woman saw the woman with the telescope.;subj_synonym;1
The girl saw the woman with the telescope.;subj_synonym;1
The boy saw the woman with the telescope.;subj_synonym;1
The mother saw the woman with the telescope.;subj_synonym;1
The father saw the woman with the telescope.;subj_synonym;1
The artist saw the woman with the telescope.;subj_synonym;1
The explorer saw the woman with the telescope.;subj_synonym;1
The king saw the woman with the telescope.;subj_synonym;1
The queen saw the woman with the telescope.;subj_synonym;1
The weather saw the woman with the telescope.;subj_random;0
The window saw the woman with the telescope.;subj_random;0
The very saw the woman with the telescope.;subj_random;0
The alike saw the woman with the telescope.;subj_random;0
The plant saw the woman with the telescope.;subj_random;0
The bee saw the woman with the telescope.;subj_random;0
The vase saw the woman with the telescope.;subj_random;0
The blue saw the woman with the telescope.;subj_random;0
